name,lon,lat,code
BPM de Val do Dubra,-8.65635,43.0274661,branch:CBM103
BPM de Valdoviño,-8.14112,43.6127,branch:CBM104
BPM de Vedra,-8.48152,42.7746,branch:CBM105
ALM de Vilasantar,-8.1219131,43.0716928,branch:CAM050
BPM de Vimianzo,-9.0344174,43.1117208,branch:CBM106
ALM de Baio,-8.9150889,43.0988197,branch:CAM082
BPM de Zas,-8.91593,43.0986,branch:CBM107
BPM de Alfoz,-7.4476804,43.4607454,branch:LBM001
BPM de Antas de Ulla,-7.890522,42.782772,branch:LBM002
BPM de Barreiros,-7.1948545,42.5889896,branch:BAR
ALM de Bóveda,-7.4796,42.6285,branch:LAM002
BPM de Burela,-7.35874,43.6606,branch:LBM007
BPM de Carballedo,-7.814734,42.540153,branch:PBM018
BPM Poeta Crecente Vega,-7.399,43.2075,branch:LBM010
BPM José Trapero Pardo,-7.492470,43.1428855,branch:LBM009
BPM de San Cibrao,-7.43973,43.697,branch:LBM012
ALM de Cervo,-7.4111417,43.6714882,branch:OAM010
BPM de Chantada,-7.76983,42.6079,branch:LBM013
BPM de A Fonsagrada,-7.10355,43.1859,branch:LBM015
BPM de Foz Salgado Toimil,-7.260316,43.565948,branch:LBM016
BPM de Guitiriz Casa Habanera,-7.8913961,43.1804634,branch:LBM018
BPM de Láncara,-7.44471,42.8624,branch:LBM020
BPM Juana de Ibarbourou,-7.298767,43.4706309,branch:LBM021
BPM de Meira,-7.294943,43.2130983,branch:LBM024
BPM Pena Trapero,-7.3630944,43.4277586,branch:MDO
BPM de Monforte de Lemos,-7.51276,42.5221,branch:LBM027
BPM de Monterroso,-7.8344982,42.7928137,branch:LBM028
ALM de Muras,-7.722486,43.4675962,branch:MURAS
BPM de Ourol,-7.642263,43.564592,branch:LBM031
BPM de Palas de Rei,-7.8684404,42.8723292,branch:LBM033
ALM de Pantón,-7.62348,42.5058,branch:LBM034
BPM da Pastoriza,-7.35014,43.3001,branch:LBM036
BPM da Pobra do Brollón,-7.3936237,42.5580309,branch:LBM037
BPM de Quiroga,-7.2928666,42.4650562,branch:LBM040
BPM de Ribadeo El Viejo Pancho,-7.03961,43.5378,branch:LBM042
BPM de Sarria Camilo Gonsar,-7.4145,42.7786,branch:LBM057
BPM do Saviñao,-7.640111,42.58546,branch:LBM044
BPM de Sober,-7.58634,42.4611,branch:LBM045
BPM de Taboada,-7.76299,42.7197,branch:LBM046
BPM do Valadouro,-7.443624,43.552063,branch:LBM048
BPM do Vicedo,-7.6718963,43.7335043,branch:LBM049
BPM de Vilalba,-7.68441,43.2954,branch:LBM051
BPM de Viveiro,-7.598948,43.6584,branch:LBM052
BPM de Xermade,-7.813103,43.355531,branch:LBM053
BPM de Xove,-7.507862,43.6851543,branch:LBM054
BP de Lugo,-7.55408,43.0044,branch:BL
BPM de Allariz,-7.80037,42.1904,branch:OBM001
ALM de Baltar,-7.714192,41.9553699,branch:BALT
BPM de Bande,-7.974622,42.0313812,branch:OBM004
BPM de Barbadás,-7.881722,42.318739,branch:OBM006
B. Municipal Florencio Delgado Gurriarán,-6.984411,42.41637,branch:OBM007
BPM de Beariz,-8.273106,42.467797,branch:OBM066
BPM da Bola,-7.931295,42.1377206,branch:OBM010
BPM do Carballiño,-8.08178,42.4267,branch:OBM011
BPM de Celanova,-7.9554659,42.1488181,branch:OBM014
BPM de Entrimo,-8.1179463,41.9333223,branch:ENTR
BPM de Esgos,-7.69702,42.325,branch:OBM021
BPM do Irixo,-8.10721,42.5235,branch:OBM023
BPM de Leiro,-8.1272005,42.369506,branch:OBM024
BPM de Lobios,-8.09734,41.9045,branch:LOBIOS
BPM de Maceda,-7.652780,42.269975,branch:OBM027
ALM da Mezquita,-7.0455207,42.0128230,branch:MEZ
ALM de Monterrei,-7.58557,41.9178,branch:OAM005
Axencia de Lectura Fundación Ferama,-7.7481073,42.4187796,branch:NGR
ALM de Parada de Sil,-7.5714758,42.3833154,branch:OAM008
BPM do Pereiro Aguiar,-7.801108,42.346587,branch:OBM039
BPM da Pobra de Trives,-7.251252,42.3408845,branch:OBM041
ALM de Rairiz de Veiga,-7.8315076,42.0814689,branch:OAM009
BPM de Ribadavia,-8.14492,42.2861,branch:OBM045
ALM de Riós,-7.284386,41.974846,branch:OAM019
BPM da Rúa,-7.111406,42.3937852,branch:OBM046
BPM de San Cristovo de Cea,-7.988224,42.476752,branch:OAM012
ALM de Taboadela,-8.2626396,42.4116701,branch:OAM013
ALM da Veiga,-7.025971,42.250527,branch:VEI
BPM de Verín,-7.4388,41.935,branch:OBM052
BPM de Viana do Bolo,-7.111268,42.179589,branch:OBM069
BPM de Vilar de Barrio,-7.610199,42.160619,branch:OBM055
BPM de Vilar de Santos,-7.79784,42.0883,branch:OBM056
BPM Xinzo de Limia - Antelana,-7.724579,42.0634977,branch:OBM058
BPM de Xunqueira de Ambía,-7.73482,42.2046,branch:OBM059
BPM da Ponte,-7.8772500,42.35241,branch:OBM064
BPM San Francisco,-7.861136,42.333427,branch:OBM063
BPM da Carballeira,-7.86982,42.3297,branch:OBM062
BP de Ourense,-7.8599504,42.3370367,branch:BO
BPM de Baiona,-8.85005,42.1185,branch:PBM004
BPM de Barro,-8.638086,42.522914,branch:PBM005
BPM de Beluso,-8.783784,42.326348,branch:PBM006
BPM de Bueu - Don Gonzalo Torrente Ballester,-8.782775,42.323873,branch:PBM007
BPM de Cela,-8.753121,42.323826,branch:PBM084
BPM Padre Manuel Martínez Ferro,-8.641241,42.603847,branch:PBM008
BPM de Cambados Luis Rei,-8.81498,42.5202,branch:PBM009
ALM de Castrelo,-8.812057,42.4799596,branch:PAM004
ALM de Corvillón,-8.797345,42.528765,branch:PAM001
ALM do Centro Sociocultural Gumersindo Márquez,-8.765545,42.534552,branch:PAM003
ALM de Vilariño,-8.793011,42.51431,branch:PAM002
BPM de Darbo,-8.8039614,42.2625277,branch:PBM011
BPM Central de Cangas,-8.77626,42.2637,branch:PBM014
BPM de Aldán,-8.819232,42.282135,branch:PBM012
ALM de Coiro,-8.772046,42.281547,branch:PAM028
BPM do Hío,-8.826242,42.268443,branch:PBM013
ALM de Valeixe,-8.27425,42.169383,branch:PAM005
BPM da Cañiza,-8.2772631,42.2143555,branch:PBM015
BPM de Catoira,-8.72288,42.6661,branch:PBM016
BPM Rodríguez Fraiz,-8.38927,42.5334,branch:PBM087
BPM de Carballedo,-8.416021,42.486182,branch:LBM008
BPM de Tenorio,-8.48156,42.4736,branch:PBM017
BPM de Covelo,-8.36167,42.2319,branch:PBM019
BPM de Crecente,-8.22306,42.1537,branch:PBM020
BPM Roberto Blanco Torres,-8.56346,42.6343,branch:PBM021
BPM de Gondomar,-8.76194,42.1114,branch:PBM025
BPM do Grove,-8.86255,42.4911,branch:PBM026
ALM de San Vicente,-8.926499,42.468377,branch:PAM031
BPM de A Guarda,-8.8667193,41.9031421,branch:PBM027
BPM da Illa de Arousa,-8.868347,42.5628127,branch:PBM028
BPM de Lalín,-8.1065008,42.6551317,branch:PBM030
ALM de A Lama,-8.44169,42.3963,branch:PAM007
BPM de Marín,-8.697202,42.392863,branch:PBM031
ALM de Meaño,-8.7816473,42.4443973,branch:PAM008
BPM de Meis,-8.7043800,42.51692,branch:PBM032
ALM de Domaio,-8.6882,42.2872,branch:PAM011
ALM de Tirán José María Castroviejo,-8.751212,42.2707136,branch:PAM010
BPM de Moaña,-8.74021,42.2799,branch:PBM033
BPM de Mondariz Xoán Xosé Pérez Labaca,-8.45635,42.2340,branch:MDZ
BPM de Mondariz-Balneario,-8.47026,42.2252,branch:PBM035
BPM de Moraña,-8.593616,42.5857701,branch:PBM037
